MODELO,QUERY_KEY,DOC_KEY,RANK
text-embedding-3-large,1,NORMA-19747,1
text-embedding-3-large,1,NORMA-19903,2
text-embedding-3-large,1,NORMA-20127,3
text-embedding-3-large,1,NORMA-20253,4
text-embedding-3-large,1,NORMA-18943,5
text-embedding-3-large,1,NORMA-18913,6
text-embedding-3-large,1,NORMA-19764,7
text-embedding-3-large,1,NORMA-18954,8
text-embedding-3-large,1,NORMA-19953,9
text-embedding-3-large,1,NORMA-21754,10
text-embedding-3-large,1,NORMA-19793,11
text-embedding-3-large,1,NORMA-20623,12
text-embedding-3-large,1,NORMA-20265,13
text-embedding-3-large,1,NORMA-19767,14
text-embedding-3-large,1,NORMA-18885,15
text-embedding-3-large,1,NORMA-20721,16
text-embedding-3-large,1,NORMA-18952,17
text-embedding-3-large,1,NORMA-18891,18
text-embedding-3-large,1,NORMA-19613,19
text-embedding-3-large,1,NORMA-19604,20
text-embedding-3-large,1,NORMA-19178,21
text-embedding-3-large,1,NORMA-18908,22
text-embedding-3-large,1,NORMA-21621,23
text-embedding-3-large,1,NORMA-20112,24
text-embedding-3-large,1,NORMA-19740,25
text-embedding-3-large,1,NORMA-18892,26
text-embedding-3-large,1,NORMA-18894,27
text-embedding-3-large,1,NORMA-20239,28
text-embedding-3-large,1,NORMA-19980,29
text-embedding-3-large,1,NORMA-20092,30
text-embedding-3-large,1,NORMA-20064,31
text-embedding-3-large,1,NORMA-20070,32
text-embedding-3-large,1,NORMA-20808,33
text-embedding-3-large,1,NORMA-19761,34
text-embedding-3-large,1,NORMA-19578,35
text-embedding-3-large,1,NORMA-18953,36
text-embedding-3-large,1,NORMA-20093,37
text-embedding-3-large,1,NORMA-20100,38
text-embedding-3-large,1,NORMA-19594,39
text-embedding-3-large,1,NORMA-19876,40
text-embedding-3-large,1,NORMA-20512,41
text-embedding-3-large,1,NORMA-20146,42
text-embedding-3-large,1,NORMA-18909,43
text-embedding-3-large,1,NORMA-20238,44
text-embedding-3-large,1,NORMA-20156,45
text-embedding-3-large,1,NORMA-20214,46
text-embedding-3-large,1,NORMA-20110,47
text-embedding-3-large,1,NORMA-20105,48
text-embedding-3-large,1,NORMA-20241,49
text-embedding-3-large,1,NORMA-19965,50
text-embedding-3-large,2,NORMA-18741,1
text-embedding-3-large,2,NORMA-6968,2
text-embedding-3-large,2,NORMA-18337,3
text-embedding-3-large,2,NORMA-5380,4
text-embedding-3-large,2,NORMA-6176,5
text-embedding-3-large,2,NORMA-13990,6
text-embedding-3-large,2,NORMA-20599,7
text-embedding-3-large,2,NORMA-1445,8
text-embedding-3-large,2,NORMA-1438,9
text-embedding-3-large,2,NORMA-22862,10
text-embedding-3-large,2,NORMA-12232,11
text-embedding-3-large,2,NORMA-2588,12
text-embedding-3-large,2,NORMA-19982,13
text-embedding-3-large,2,NORMA-12019,14
text-embedding-3-large,2,NORMA-21061,15
text-embedding-3-large,2,NORMA-20170,16
text-embedding-3-large,2,NORMA-11576,17
text-embedding-3-large,2,NORMA-21132,18
text-embedding-3-large,2,NORMA-21344,19
text-embedding-3-large,2,NORMA-1114,20
text-embedding-3-large,2,NORMA-19622,21
text-embedding-3-large,2,NORMA-12048,22
text-embedding-3-large,2,NORMA-12014,23
text-embedding-3-large,2,NORMA-11866,24
text-embedding-3-large,2,NORMA-21703,25
text-embedding-3-large,2,NORMA-12234,26
text-embedding-3-large,2,NORMA-18421,27
text-embedding-3-large,2,NORMA-11796,28
text-embedding-3-large,2,NORMA-19771,29
text-embedding-3-large,2,NORMA-2554,30
text-embedding-3-large,2,NORMA-21709,31
text-embedding-3-large,2,NORMA-12012,32
text-embedding-3-large,2,NORMA-11767,33
text-embedding-3-large,2,NORMA-11574,34
text-embedding-3-large,2,NORMA-20169,35
text-embedding-3-large,2,NORMA-11515,36
text-embedding-3-large,2,NORMA-11733,37
text-embedding-3-large,2,NORMA-20942,38
text-embedding-3-large,2,NORMA-20269,39
text-embedding-3-large,2,NORMA-11477,40
text-embedding-3-large,2,NORMA-11777,41
text-embedding-3-large,2,NORMA-27161,42
text-embedding-3-large,2,NORMA-18495,43
text-embedding-3-large,2,NORMA-12228,44
text-embedding-3-large,2,NORMA-12246,45
text-embedding-3-large,2,NORMA-20899,46
text-embedding-3-large,2,NORMA-11631,47
text-embedding-3-large,2,NORMA-18520,48
text-embedding-3-large,2,NORMA-2362,49
text-embedding-3-large,2,NORMA-15964,50
text-embedding-3-large,3,NORMA-727,1
text-embedding-3-large,3,NORMA-1991,2
text-embedding-3-large,3,NORMA-2189,3
text-embedding-3-large,3,NORMA-705,4
text-embedding-3-large,3,NORMA-2093,5
text-embedding-3-large,3,NORMA-2009,6
text-embedding-3-large,3,NORMA-479,7
text-embedding-3-large,3,NORMA-2426,8
text-embedding-3-large,3,NORMA-602,9
text-embedding-3-large,3,NORMA-2574,10
text-embedding-3-large,3,NORMA-1983,11
text-embedding-3-large,3,NORMA-838,12
text-embedding-3-large,3,NORMA-2083,13
text-embedding-3-large,3,NORMA-2067,14
text-embedding-3-large,3,NORMA-1366,15
text-embedding-3-large,3,NORMA-20871,16
text-embedding-3-large,3,NORMA-20252,17
text-embedding-3-large,3,NORMA-2118,18
text-embedding-3-large,3,NORMA-19731,19
text-embedding-3-large,3,NORMA-1147,20
text-embedding-3-large,3,NORMA-21419,21
text-embedding-3-large,3,NORMA-1990,22
text-embedding-3-large,3,NORMA-20253,23
text-embedding-3-large,3,NORMA-2176,24
text-embedding-3-large,3,NORMA-232,25
text-embedding-3-large,3,NORMA-261,26
text-embedding-3-large,3,NORMA-984,27
text-embedding-3-large,3,NORMA-19220,28
text-embedding-3-large,3,NORMA-1995,29
text-embedding-3-large,3,NORMA-903,30
text-embedding-3-large,3,NORMA-2183,31
text-embedding-3-large,3,NORMA-2144,32
text-embedding-3-large,3,NORMA-754,33
text-embedding-3-large,3,NORMA-12350,34
text-embedding-3-large,3,NORMA-1334,35
text-embedding-3-large,3,NORMA-781,36
text-embedding-3-large,3,NORMA-20856,37
text-embedding-3-large,3,NORMA-13097,38
text-embedding-3-large,3,NORMA-220,39
text-embedding-3-large,3,NORMA-1250,40
text-embedding-3-large,3,NORMA-2199,41
text-embedding-3-large,3,NORMA-20760,42
text-embedding-3-large,3,NORMA-1173,43
text-embedding-3-large,3,NORMA-2567,44
text-embedding-3-large,3,NORMA-871,45
text-embedding-3-large,3,NORMA-834,46
text-embedding-3-large,3,NORMA-1211,47
text-embedding-3-large,3,NORMA-962,48
text-embedding-3-large,3,NORMA-703,49
text-embedding-3-large,3,NORMA-54,50
text-embedding-3-large,4,NORMA-19616,1
text-embedding-3-large,4,NORMA-21065,2
text-embedding-3-large,4,NORMA-20223,3
text-embedding-3-large,4,NORMA-20704,4
text-embedding-3-large,4,NORMA-19583,5
text-embedding-3-large,4,NORMA-20730,6
text-embedding-3-large,4,NORMA-19689,7
text-embedding-3-large,4,NORMA-20702,8
text-embedding-3-large,4,NORMA-19590,9
text-embedding-3-large,4,NORMA-5925,10
text-embedding-3-large,4,NORMA-20729,11
text-embedding-3-large,4,NORMA-20713,12
text-embedding-3-large,4,NORMA-20248,13
text-embedding-3-large,4,NORMA-20632,14
text-embedding-3-large,4,NORMA-6782,15
text-embedding-3-large,4,NORMA-20299,16
text-embedding-3-large,4,NORMA-19942,17
text-embedding-3-large,4,NORMA-20703,18
text-embedding-3-large,4,NORMA-18670,19
text-embedding-3-large,4,NORMA-19326,20
text-embedding-3-large,4,NORMA-18238,21
text-embedding-3-large,4,NORMA-19629,22
text-embedding-3-large,4,NORMA-6708,23
text-embedding-3-large,4,NORMA-19691,24
text-embedding-3-large,4,NORMA-9803,25
text-embedding-3-large,4,NORMA-18211,26
text-embedding-3-large,4,NORMA-21075,27
text-embedding-3-large,4,NORMA-18267,28
text-embedding-3-large,4,NORMA-13797,29
text-embedding-3-large,4,NORMA-19138,30
text-embedding-3-large,4,NORMA-18990,31
