QUERY_KEY,DOC_KEY,SCORE,RANK
1,NORMA-21217,2,1
1,NORMA-19574,2,2
1,NORMA-21779,2,3
1,NORMA-21754,2,4
1,NORMA-21621,2,5
1,NORMA-21432,2,6
1,NORMA-15237,2,7
1,NORMA-9382,2,8
1,NORMA-23521,1,9
1,NORMA-21650,1,10
1,NORMA-21630,1,11
1,NORMA-19602,1,12
1,NORMA-19640,1,13
1,NORMA-21661,1,14
1,NORMA-21506,1,15
1,NORMA-21484,1,16
1,NORMA-21249,1,17
1,NORMA-19624,1,18
1,NORMA-19597,1,19
1,NORMA-2603,1,20
1,NORMA-21727,0,21
1,NORMA-21439,0,22
1,NORMA-21258,0,23
1,NORMA-19629,0,24
2,NORMA-21700,2,1
2,NORMA-21638,2,2
2,NORMA-14390,2,3
2,NORMA-20790,2,4
2,NORMA-20139,2,5
2,NORMA-6176,2,6
2,NORMA-21709,2,7
2,NORMA-20761,2,8
2,NORMA-18962,2,9
2,NORMA-21711,1,10
2,NORMA-21509,1,11
2,NORMA-21790,1,12
2,NORMA-21536,1,13
2,NORMA-19429,1,14
2,NORMA-1620,1,15
2,NORMA-21478,0,16
2,NORMA-18530,0,17
2,NORMA-18999,0,18
2,NORMA-18533,0,19
3,NORMA-26124,2,1
3,NORMA-22101,2,2
3,NORMA-21650,2,3
3,NORMA-21597,2,4
3,NORMA-21508,2,5
3,NORMA-21466,2,6
3,NORMA-21456,2,7
3,NORMA-21446,2,8
3,NORMA-21407,2,9
3,NORMA-21261,2,10
3,NORMA-21245,2,11
3,NORMA-19596,2,12
3,NORMA-19651,2,13
3,NORMA-21219,2,14
3,NORMA-21249,2,15
3,NORMA-19640,2,16
3,NORMA-19816,2,17
3,NORMA-19614,1,18
3,NORMA-21394,1,19
3,NORMA-19628,1,20
4,NORMA-20223,2,1
4,NORMA-19629,1,2
4,NORMA-8028,1,3
4,NORMA-27365,1,4
4,NORMA-27364,1,5
4,NORMA-26201,1,6
4,NORMA-22721,1,7
4,NORMA-20137,1,8
4,NORMA-15229,1,9
4,NORMA-14967,1,10
4,NORMA-14688,1,11
4,NORMA-6881,1,12
4,NORMA-21718,0,13
4,NORMA-21539,0,14
4,NORMA-21437,0,15
4,NORMA-20794,0,16
4,NORMA-20430,0,17
4,NORMA-20427,0,18
4,NORMA-6826,0,19
4,NORMA-2603,0,20
5,NORMA-21369,2,1
5,NORMA-21606,2,2
5,NORMA-18270,2,3
5,NORMA-10749,2,4
5,NORMA-24961,1,5
5,NORMA-21608,1,6
5,NORMA-19295,1,7
5,NORMA-21651,1,8
5,NORMA-12954,1,9
5,NORMA-22861,1,10
5,NORMA-21742,1,11
5,NORMA-21547,1,12
